Bigram,Topic
next_week,x
find_poll,x
make_call,x
im_grateful,x
yet_another,x
new_year,x
take_time,x
friend_family,x
congress_must,x
every_time,x
run_office,x
pay_attention,x
vote_republican,x
thats_im,x
time_get,x
future_generation,x
senator_heller,x
save_life,x
house_senate,x
want_see,x
dont_get,x
attorney_general,x
see_many,x
fight_protect,x
sign_volunteer,x
thanks_support,x
next_senator,x
spend_time,x
good_morning,x
come_back,x
copy_tweet,x
vote_count,x
want_know,x
ago_today,x
thank_god,x
nancy_pelosi,x
answer_question,x
next_year,x
every_vote,x
midterm_election,x
people_get,x
great_work,x
im_ready,x
must_continue,x
thank_service,x
dont_like,x
even_though,x
hillary_clinton,x
loved_one,x
people_vote,x
win_november,x
proud_stand,x
family_friend,x
talk_voter,x
john_mccain,x
trump_admin,x
voice_heard,x
need_make,x
next_generation,x
great_job,x
ted_cruz,x
long_time,x
cant_afford,x
one_day,x
voter_registration,x
make_clear,x
make_plan,x
go_get,x
would_love,x
vote_red,x
plan_vote,x
need_keep,x
nov_6th,x
make_easy,x
thought_prayer,x
follow_follow,x
please_vote,x
add_name,x
phone_call,x
deep_state,x
vote_democrat,x
rick_scott,x
bipartisan_bill,x
state_senate,x
make_happen,x
state_union,x
thanks_follow,x
20_year,x
reply_copy,x
million_people,x
primary_election,x
washington_state,x
president_united,x
way_go,x
need_vote,x
great_state,x
run_senate,x
bill_would,x
public_servant,x
run_president,x
state_america,x
senate_race,x
every_american,x
people_want,x
act_like,x
candidate_forum,x
want_take,x
need_know,x
please_join,x
keep_promise,x
never_stop,x
brave_men,x
wait_see,x
west_virginian,x
seem_like,x
dont_believe,x
everyone_know,x
want_make,x
secretary_state,x
meet_greet,x
honor_support,x
please_like,x
please_rt,x
early_vote,x
ill_keep,x
one_year,x
need_stop,x
get_away,x
im_work,x
work_make,x
make_sense,x
candidate_senate,x
day_parade,x
people_dont,x
need_go,x
elizabeth_warren,x
cant_let,x
keep_safe,x
2016_election,x
president_obama,x
feel_like,x
trump_want,x
need_take,x
great_meet,x
win_election,x
people_need,x
important_issue,x
love_country,x
tell_truth,x
love_see,x
honor_receive,x
today_honor,x
good_thing,x
bring_back,x
help_keep,x
merry_christmas,x
good_people,x
community_leader,x
county_fair,x
21st_century,x
senate_seat,x
first_step,x
support_president,x
president_donald,x
san_antonio,x
across_aisle,x
senate_floor,x
10_year,x
political_party,x
make_history,x
hundred_thousand,x
american_hero,x
amp_family,x
make_mistake,x
paul_ryan,x
go_take,x
dont_miss,x
im_fight,x
put_people,x
vote_trump,x
take_look,x
another_great,x
follow_patriot,x
pass_bill,x
full_statement,x
follow_please,x
im_sorry,x
year_since,x
come_join,x
first_lady,x
joe_manchin,x
share_story,x
issue_matter,x
every_year,x
jeff_session,x
great_nation,x
want_help,x
vote_nov,x
martin_luther,x
day_one,x
proud_work,x
trump_amp,x
im_look,x
country_need,x
help_people,x
work_across,x
senate_geoff,x
sure_get,x
must_protect,x
public_service,x
luther_king,x
million_dollar,x
anyone_else,x
need_support,x
care_need,x
today_im,x
state_country,x
always_fight,x
go_away,x
love_one,x
cant_get,x
get_involved,x
lead_way,x
forward_see,x
great_meeting,x
support_trump,x
tax_return,x
keep_work,x
get_start,x
wont_stop,x
issue_face,x
please_share,x
ask_question,x
help_win,x
free_open,x
republican_candidate,x
poll_close,x
must_take,x
house_representative,x
way_life,x
good_friend,x
try_get,x
time_change,x
get_poll,x
today_last,x
dont_worry,x
50_year,x
absentee_ballot,x
country_back,x
receive_endorsement,x
stop_fight,x
come_forward,x
dont_give,x
enough_enough,x
voting_location,x
im_excite,x
ill_follow,x
vote_right,x
phone_bank,x
go_make,x
scott_pruitt,x
tim_kaine,x
